"subject","cond","t","predictable","rt"
147,2,72,"3",1865
55,1,1,"1",1151
55,1,1,"3",1361
55,1,2,"1",1184
55,1,2,"3",1269
55,1,3,"1",1069
55,1,3,"3",1350
55,1,4,"1",1092
55,1,4,"3",1177
55,1,5,"1",1095
55,1,5,"3",1405
55,1,6,"1",1111
55,1,6,"3",1139
55,1,7,"1",1161
55,1,7,"3",1075
55,1,8,"1",1049
55,1,8,"3",1005
55,1,9,"1",1791
55,1,9,"3",1157
55,1,10,"1",1069
55,1,10,"3",1355
55,1,11,"1",1135
55,1,11,"3",1410
55,1,12,"1",1159
55,1,12,"3",1221
55,1,13,"1",1047
55,1,13,"3",1101
55,1,14,"1",1117
55,1,15,"1",1050
55,1,15,"3",1904
55,1,16,"1",1031
55,1,17,"1",1726
55,1,17,"3",1225
55,1,18,"1",1085
55,1,18,"3",1259
55,1,19,"1",1228
55,1,19,"3",1240
55,1,20,"1",1682
55,1,20,"3",1537
55,1,21,"1",1120
55,1,21,"3",1691
55,1,22,"1",1172
55,1,22,"3",1084
55,1,23,"1",1173
55,1,23,"3",1237
55,1,24,"1",1090
55,1,24,"3",1208
55,1,25,"1",1281
55,1,25,"3",1160
55,1,26,"3",1245
55,1,27,"1",1537
55,1,27,"3",1779
55,1,28,"1",1320
55,1,28,"3",1410
55,1,29,"1",1562
55,1,29,"3",1122
55,1,30,"1",1334
55,1,30,"3",1235
55,1,31,"1",1180
55,1,31,"3",1126
55,1,32,"1",1112
55,1,32,"3",1335
55,1,33,"1",1096
55,1,33,"3",1220
55,1,34,"1",1709
55,1,34,"3",1213
55,1,35,"1",972
55,1,35,"3",1380
55,1,36,"1",995
55,1,36,"3",1368
55,1,37,"1",1093
55,1,37,"3",1385
55,1,38,"1",1096
55,1,38,"3",1166
55,1,39,"1",1080
55,1,39,"3",1148
55,1,40,"1",1010
55,1,40,"3",1050
55,1,41,"1",1014
55,1,41,"3",1574
55,1,42,"1",1156
55,1,42,"3",1142
55,1,43,"1",1669
55,1,43,"3",1469
55,1,44,"1",974
55,1,44,"3",1295
55,1,45,"1",1021
55,1,45,"3",1169
55,1,46,"1",1036
55,1,46,"3",1362
55,1,47,"1",1973
55,1,47,"3",1068
55,1,48,"1",1149
55,1,48,"3",1321
55,1,49,"1",1010
55,1,49,"3",1719
55,1,50,"1",1142
55,1,50,"3",1137
55,1,51,"1",1039
55,1,51,"3",1328
55,1,52,"1",1004
55,1,52,"3",1418
55,1,53,"1",987
55,1,53,"3",1351
55,1,54,"1",1126
55,1,54,"3",1320
55,1,55,"1",1015
55,1,55,"3",1302
55,1,56,"1",1567
55,1,56,"3",1130
55,1,57,"1",1536
55,1,57,"3",1392
55,1,58,"1",1162
55,1,58,"3",1202
55,1,59,"1",1244
55,1,59,"3",1345
55,1,60,"1",1473
55,1,60,"3",1315
55,1,61,"1",1017
55,1,61,"3",1177
55,1,62,"1",1076
55,1,62,"3",1190
55,1,63,"1",1011
55,1,63,"3",959
55,1,64,"1",1340
55,1,64,"3",1470
55,1,65,"1",1236
55,1,65,"3",1548
55,1,66,"1",691
55,1,66,"3",1031
55,1,67,"1",1302
55,1,68,"1",1129
55,1,68,"3",1213
55,1,69,"1",1080
55,1,69,"3",1277
55,1,70,"1",1264
55,1,71,"1",685
55,1,72,"1",1036
55,1,72,"3",1086
229,3,1,"1",843
229,3,1,"3",1115
229,3,2,"1",860
229,3,2,"3",956
229,3,3,"1",930
229,3,3,"3",1042
229,3,4,"1",1254
229,3,4,"3",1210
229,3,5,"1",1129
229,3,5,"3",1071
229,3,6,"1",866
229,3,6,"3",910
229,3,7,"1",846
229,3,7,"3",934
229,3,8,"1",908
229,3,8,"3",811
229,3,9,"1",917
229,3,10,"1",814
229,3,10,"3",914
229,3,11,"1",867
229,3,11,"3",1041
229,3,12,"1",957
229,3,12,"3",1049
229,3,13,"1",1349
229,3,13,"3",913
229,3,14,"1",984
229,3,14,"3",802
229,3,15,"1",936
229,3,15,"3",942
229,3,16,"1",910
229,3,16,"3",795
229,3,17,"1",859
229,3,17,"3",900
229,3,18,"1",833
229,3,18,"3",903
229,3,19,"1",838
229,3,19,"3",1012
229,3,20,"1",1013
229,3,20,"3",1338
229,3,21,"1",905
229,3,21,"3",945
229,3,22,"1",1004
229,3,22,"3",949
229,3,23,"1",844
229,3,23,"3",217
229,3,24,"1",885
229,3,24,"3",1043
229,3,25,"1",1075
229,3,25,"3",852
229,3,26,"1",938
229,3,26,"3",969
229,3,27,"1",1002
229,3,27,"3",297
229,3,28,"1",978
229,3,28,"3",908
229,3,29,"1",833
229,3,29,"3",891
229,3,30,"1",821
229,3,30,"3",1187
229,3,31,"1",758
229,3,31,"3",1284
229,3,32,"1",878
229,3,32,"3",1004
229,3,33,"1",859
229,3,33,"3",829
229,3,34,"1",938
229,3,34,"3",1105
229,3,35,"1",747
229,3,35,"3",867
229,3,36,"1",775
229,3,36,"3",962
229,3,37,"1",986
229,3,37,"3",968
229,3,38,"1",816
229,3,38,"3",967
229,3,39,"1",856
229,3,39,"3",1216
229,3,40,"1",960
229,3,40,"3",847
229,3,41,"1",781
229,3,41,"3",1123
229,3,42,"1",895
229,3,42,"3",824
229,3,43,"1",767
229,3,43,"3",335
229,3,44,"1",887
229,3,44,"3",892
229,3,45,"1",1526
229,3,45,"3",304
229,3,46,"1",778
229,3,46,"3",41
229,3,47,"1",821
229,3,47,"3",851
229,3,48,"1",794
229,3,48,"3",747
229,3,49,"1",1309
229,3,49,"3",885
229,3,50,"1",834
229,3,50,"3",871
229,3,51,"1",792
229,3,51,"3",113
229,3,52,"1",810
229,3,52,"3",922
229,3,53,"1",830
229,3,53,"3",139
229,3,54,"3",887
229,3,55,"1",864
229,3,55,"3",160
229,3,56,"1",842
229,3,56,"3",909
229,3,57,"1",957
229,3,57,"3",220
229,3,58,"1",813
229,3,58,"3",1055
229,3,59,"1",900
229,3,59,"3",64
229,3,60,"1",891
229,3,60,"3",96
229,3,61,"1",782
229,3,61,"3",816
229,3,62,"1",787
229,3,62,"3",849
229,3,63,"1",878
229,3,63,"3",242
229,3,64,"1",684
229,3,64,"3",75
229,3,65,"1",793
229,3,65,"3",881
229,3,66,"1",896
229,3,66,"3",66
229,3,67,"1",519
229,3,67,"3",169
229,3,68,"1",770
229,3,68,"3",528
229,3,69,"1",772
229,3,69,"3",892
229,3,70,"1",455
229,3,70,"3",130
229,3,71,"1",382
229,3,71,"3",45
229,3,72,"1",824
229,3,72,"3",135
245,2,1,"1",1142
245,2,1,"3",1050
245,2,2,"1",1085
245,2,2,"3",989
245,2,3,"1",985
245,2,3,"3",883
245,2,4,"1",1027
245,2,4,"3",906
245,2,5,"1",1022
245,2,5,"3",853
245,2,6,"1",1287
245,2,6,"3",822
245,2,7,"3",798
245,2,8,"1",1161
245,2,8,"3",898
245,2,9,"1",1123
245,2,9,"3",711
245,2,10,"1",1133
245,2,10,"3",1085
245,2,11,"1",893
245,2,11,"3",806
245,2,12,"1",933
245,2,12,"3",760
245,2,13,"1",1053
245,2,13,"3",760
245,2,14,"1",974
245,2,14,"3",862
245,2,15,"1",875
245,2,15,"3",751
245,2,16,"1",919
245,2,16,"3",724
245,2,17,"1",1004
245,2,17,"3",758
245,2,18,"1",1029
245,2,18,"3",843
245,2,19,"1",851
245,2,19,"3",841
245,2,20,"1",965
245,2,20,"3",863
245,2,21,"1",1028
245,2,21,"3",687
245,2,22,"1",943
245,2,22,"3",835
245,2,23,"1",948
245,2,23,"3",802
245,2,24,"1",919
245,2,24,"3",1023
245,2,25,"1",943
245,2,25,"3",1460
245,2,26,"1",1169
245,2,26,"3",942
245,2,27,"1",1200
245,2,27,"3",993
245,2,28,"1",1016
245,2,28,"3",935
245,2,29,"1",995
245,2,29,"3",781
245,2,30,"1",1503
245,2,30,"3",779
245,2,31,"1",1087
245,2,31,"3",794
245,2,32,"1",1056
245,2,32,"3",720
245,2,33,"1",929
245,2,33,"3",886
245,2,34,"1",928
245,2,34,"3",907
245,2,35,"1",1054
245,2,35,"3",765
245,2,36,"1",1004
245,2,36,"3",1059
245,2,37,"1",942
245,2,37,"3",908
245,2,38,"1",979
245,2,38,"3",708
245,2,39,"1",1118
245,2,39,"3",718
245,2,40,"1",852
245,2,40,"3",820
245,2,41,"1",810
245,2,41,"3",729
245,2,42,"1",1228
245,2,42,"3",824
245,2,43,"1",871
245,2,43,"3",905
245,2,44,"1",1153
245,2,44,"3",705
245,2,45,"1",873
245,2,45,"3",733
245,2,46,"1",970
245,2,46,"3",871
245,2,47,"1",821
245,2,47,"3",868
245,2,48,"1",934
245,2,48,"3",833
245,2,49,"1",965
245,2,49,"3",1319
245,2,50,"1",816
245,2,50,"3",902
245,2,51,"1",1011
245,2,51,"3",875
245,2,52,"1",888
245,2,52,"3",793
245,2,53,"1",944
245,2,53,"3",858
245,2,54,"1",985
245,2,54,"3",820
245,2,55,"1",911
245,2,55,"3",764
245,2,56,"1",1144
245,2,56,"3",728
245,2,57,"1",1231
245,2,57,"3",1136
245,2,58,"1",921
245,2,58,"3",745
245,2,59,"1",1015
245,2,59,"3",716
245,2,60,"1",827
245,2,60,"3",705
245,2,61,"1",964
245,2,61,"3",727
245,2,62,"1",1022
245,2,62,"3",806
245,2,63,"1",958
245,2,63,"3",753
245,2,64,"1",874
245,2,64,"3",780
245,2,65,"1",908
245,2,65,"3",974
245,2,66,"1",928
245,2,66,"3",905
245,2,67,"1",1068
245,2,67,"3",846
245,2,68,"1",963
245,2,68,"3",753
245,2,69,"1",912
245,2,69,"3",1133
245,2,70,"1",981
245,2,70,"3",788
245,2,71,"1",1174
245,2,71,"3",749
245,2,72,"1",868
245,2,72,"3",1038
11,1,1,"1",1275
11,1,1,"3",1371
11,1,2,"1",1006
11,1,2,"3",1250
11,1,3,"1",1071
11,1,3,"3",1398
11,1,4,"1",1000
11,1,4,"3",1109
11,1,5,"1",936
11,1,5,"3",968
11,1,6,"1",1003
11,1,6,"3",1100
11,1,7,"1",1023
11,1,7,"3",1650
11,1,8,"1",938
11,1,8,"3",1096
11,1,9,"1",1000
11,1,9,"3",1083
11,1,10,"1",901
11,1,10,"3",1041
11,1,11,"1",890
11,1,11,"3",1049
11,1,12,"1",900
